

"Country","ISO","Indicator","Indicator Code","Share of informal employment in total employment","% informal employment including agriculture (Total)","% informal employment including agriculture (Men)","% informal employment including agriculture (Women)","% informal employment excluding agriculture (Total)","% informal employment excluding agriculture (Men)","% informal employment excluding agriculture (Women)",
"Albania","ALB","pIEiTE","pIEiTE","61.0","61.0","58.9","63.5","33.1","38.6","24.1",
"Angola","AGO","pIEiTE","pIEiTE","94.1","94.1","92.8","95.4","89.5","88.2","91.2",
"Argentina","ARG","pIEiTE","pIEiTE","47.1","47.1","46.5","48.0","47.2","46.6","48.0",
"Armenia","ARM","pIEiTE","pIEiTE","47.9","47.9","48.4","47.3","24.8","29.0","19.6",
"Austria","AUT","pIEiTE","pIEiTE","10.0","10.0","9.2","11.1","8.9","8.2","9.9",
"Bangladesh","BGD","pIEiTE","pIEiTE","94.7","94.7","93.9","96.6","91.3","91.2","91.9",
"Belgium","BEL","pIEiTE","pIEiTE","13.5","13.5","15.3","11.4","12.8","14.4","11.0",
"Benin","BEN","pIEiTE","pIEiTE","94.5","94.5","91.6","97.2","90.6","83.4","95.8",
"Bolivia","BOL","pIEiTE","pIEiTE","82.0","82.0","80.7","83.8","75.4","73.9","77.4",
"Bosnia and Herzegovina","BIH","pIEiTE","pIEiTE","29.5","29.5","31.0","27.0","17.1","19.6","12.8",
"Botswana","BWA","pIEiTE","pIEiTE","65.6","65.6","63.5","68.0","55.1","50.0","60.5",
"Brazil","BRA","pIEiTE","pIEiTE","46.0","46.0","46.0","46.0","42.5","41.1","44.1",
"Brunei Darussalam","BRN","pIEiTE","pIEiTE","33.0","33.0","34.7","30.8","32.4","33.7","30.7",
"Bulgaria","BGR","pIEiTE","pIEiTE","15.9","15.9","17.6","13.9","13.6","15.0","12.1",
"Burkina Faso","BFA","pIEiTE","pIEiTE","94.6","94.6","91.3","97.6","88.4","82.7","93.8",
"Burundi","BDI","pIEiTE","pIEiTE","98.0","98.0","96.9","98.8","89.0","89.9","86.5",
"Cabo Verde","CPV","pIEiTE","pIEiTE","46.5","46.5","49.1","43.7","46.8","48.1","45.5",
"Cambodia","KHM","pIEiTE","pIEiTE","93.3","93.3","91.1","95.7","90.2","86.9","93.8",
"Cameroon","CMR","pIEiTE","pIEiTE","87.2","87.2","82.9","91.7","76.9","72.1","83.2",
"Chad","TCD","pIEiTE","pIEiTE","94.0","94.0","91.7","97.3","75.8","68.5","87.9",
"Chile","CHL","pIEiTE","pIEiTE","40.7","40.7","40.7","40.8","39.5","39.0","40.2",
"China","CHN","pIEiTE","pIEiTE","54.4","54.4","56.4","51.5","53.5","55.5","50.4",
