"Country Name","Country Code","Indicator Name","Indicator Code","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Spain","ESP","GDP growth","GDPG","2.52","0.85","-1.31","2.34","4.12","2.42","3.87","4.47","4.75","5.05","3.67","2.71","3.09","3.26","3.59","4.08","3.48","0.89","-3.83","-0.2","0.05","-1.64","-1.22","0.87","0.96","1.13","1.17","1.21","1.27",
"Sri Lanka","LKA","GDP growth","GDPG","7.55","4.61","4.28","6.95","5.63","5.45","6.3","1.04","8.15","6.02","-1.54","0.29","5.94","5.45","6.24","7.67","6.8","5.95","3.54","8.02","8.25","6.34","7.3","7","6.5","6.5","6.5","6.5","6.5",
"Sweden","SWE","GDP growth","GDPG","-1.08","-1.18","-0.4","4.01","3.94","1.61","2.71","4.21","4.66","4.45","1.26","2.48","2.34","4.24","3.16","4.3","3.31","-0.61","-5.03","6.56","2.93","0.93","1.53","2.77","2.6","2.54","2.42","2.42","2.4",
"Switzerland","CHE","GDP growth","GDPG","-0.92","-0.04","-0.13","1.27","0.48","0.48","2.04","2.73","1.4","3.67","1.24","0.19","0.02","2.42","2.69","3.75","3.85","2.16","-1.94","2.95","1.79","1.05","1.96","2.15","2.22","2.01","2.02","1.8","1.75",
"Taiwan, China","TWN","GDP growth","GDPG","7.88","7.56","6.73","7.59","6.38","5.54","5.48","3.47","5.97","5.8","-1.65","5.26","3.67","6.19","4.7","5.44","5.98","0.73","-1.81","10.76","4.19","1.48","2.11","3.14","3.9","4.19","4.35","4.45","4.49",
"Tajikistan","TJK","GDP growth","GDPG","-7.1","-28.9","-11.1","-21.4","-12.5","-4.37","1.7","5.3","3.7","8.3","10.2","9.1","10.2","10.6","6.7","7","7.8","7.9","3.9","6.5","7.4","7.5","7.4","6.2","5.75","5.75","5.75","5.75","5.75",
"Thailand","THA","GDP growth","GDPG","8.11","8.08","8.25","8.99","9.24","5.9","-1.37","-10.51","4.45","4.75","2.17","5.32","7.13","6.32","4.64","5.09","5.04","2.48","-2.33","7.81","0.08","6.49","2.87","2.5","3.78","4.79","4.73","4.5","4.47",
"Tunisia","TUN","GDP growth","GDPG","3.9","7.81","2.19","3.18","2.35","7.15","5.44","4.96","6.02","4.3","4.85","1.7","5.47","5.96","4","5.65","6.26","4.52","3.11","2.91","-1.94","3.6","2.7","3","4.5","4.5","4.5","4.5","4.5",
"Turkey","TUR","GDP growth","GDPG","0.93","5.98","8.04","-5.46","7.19","7.01","7.53","3.09","-3.37","6.77","-5.7","6.16","5.26","9.36","8.4","6.89","4.67","0.66","-4.83","9.16","8.77","2.17","4.29","2.27","3.06","3.47","3.48","3.48","3.48",
"Uganda","UGA","GDP growth","GDPG","1.78","2.78","8.24","6.43","11.29","9.1","5.47","3.81","8.16","5.44","8.77","7.06","6.16","5.8","10.01","7.05","8.06","10.43","4.13","6.2","6.18","2.78","6.03","6.36","6.77","7.11","7.18","7.27","7.37",
"Ukraine","UKR","GDP growth","GDPG","-10.62","-9.73","-14.8","-22.77","-12.14","-9.85","-3.17","-1.81","-0.2","5.93","9.23","5.2","9.5","12.1","3","7.4","7.6","2.3","-14.8","4.1","5.19","0.15","0.05","4.96","5.38","4.99","4.73","4.81","4.88",
"United Arab Emirates","ARE","GDP growth","GDPG","2.14","3.1","-0.03","7.36","6.58","5.34","8.55","0.79","3.75","12.33","1.85","2.43","8.8","9.57","4.86","9.84","3.18","3.19","-4.8","1.67","3.88","4.37","4.76","4.36","4.19","3.92","3.97","4.06","4.16",
"United Kingdom","GBR","GDP growth","GDPG","-1.29","1.29","3.49","4.95","3.53","3.49","4.35","3.57","2.94","4.36","2.19","2.29","3.95","3.17","3.23","2.75","3.43","-0.77","-5.17","1.66","1.12","0.25","1.76","2.88","2.46","2.35","2.25","2.43","2.44",
"United States","USA","GDP growth","GDPG","-0.07","3.56","2.75","4.04","2.72","3.8","4.49","4.45","4.85","4.09","0.95","1.78","2.79","3.8","3.35","2.67","1.79","-0.29","-2.8","2.51","1.85","2.78","1.88","2.77","2.95","3.03","2.91","2.59","2.22",
"Uruguay","URY","GDP growth","GDPG","3.54","7.93","2.66","7.28","-1.45","5.58","5.05","4.28","-2.96","-1.78","-3.46","-7.05","2.33","4.64","6.81","4.1","6.54","7.18","2.25","8.95","6.53","3.94","4.2","2.79","3","3.28","3.61","3.8","3.81",
"Venezuela","VEN","GDP growth","GDPG","9.73","6.06","0.28","-2.35","3.95","-0.2","6.37","0.29","-5.97","3.69","3.39","-8.86","-7.75","18.29","10.32","9.87","8.75","5.28","-3.2","-1.49","4.18","5.63","1","-0.5","-1","1","1","1","1",
"Viet Nam","VNM","GDP growth","GDPG","5.81","8.7","8.08","8.83","9.54","9.34","8.15","5.76","4.77","6.79","6.89","7.08","7.34","7.79","7.55","6.98","7.13","5.66","5.4","6.42","6.24","5.25","5.42","5.6","5.7","5.8","5.9","6","6",
