"Country Name","Country Code","Indicator Name","Indicator Code","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Croatia","HRV","GDP growth","GDPG","-17","-11.7","-8","5.9","6.63","5.84","5.36","2.52","-0.86","4.18","3.66","4.88","5.37","4.13","4.28","4.93","5.06","2.08","-6.95","-2.27","-0.23","-1.87","-1","-0.62","0.4","1.3","1.94","2.1","2",
"Cyprus","CYP","GDP growth","GDPG","0.74","9.37","0.7","5.9","9.92","1.81","2.3","5.01","4.83","5.02","4.02","2.13","1.87","4.23","3.86","4.13","5.09","3.59","-1.86","1.31","0.44","-2.41","-6","-4.75","0.85","1.86","2.35","2.25","1.94",
"Czech Republic","CZE","GDP growth","GDPG","-11.49","-3.29","0.57","3.21","6.36","4.54","-0.85","-0.24","1.68","4.19","3.1","2.15","3.77","4.74","6.75","7.02","5.74","3.1","-4.51","2.47","1.82","-1.02","-0.87","1.89","2.02","2.13","2.28","2.43","2.44",
"Denmark","DNK","GDP growth","GDPG","1.3","1.98","-0.09","5.53","3.06","2.84","3.2","2.16","2.56","3.53","0.7","0.47","0.38","2.3","2.44","3.4","1.58","-0.78","-5.67","1.39","1.07","-0.36","0.43","1.48","1.67","1.66","1.68","1.75","1.76",
"Dominican Republic","DOM","GDP growth","GDPG","0.94","10.51","7.22","2.3","5.49","7.13","8","7.01","6.71","5.66","1.81","5.79","-0.25","1.31","9.26","10.67","8.47","5.26","3.45","7.75","4.48","3.89","4.09","4.46","4.1","4.1","4","4","4",
"Ecuador","ECU","GDP growth","GDPG","5.11","3.61","2","4.26","2.25","1.73","4.33","3.27","-4.74","1.09","4.02","4.1","2.72","8.21","5.29","4.4","2.19","6.36","0.57","3.52","7.79","5.14","4.24","4.16","3.5","3.5","3.5","3.5","3.5",
"Egypt","EGY","GDP growth","GDPG","2.1","0.3","2.9","4.19","4.48","4.88","5.92","7.54","6.11","5.38","3.52","3.19","3.19","4.09","4.47","6.84","7.09","7.16","4.67","5.15","1.78","2.21","2.1","2.26","4.09","4.08","3.96","4.04","4.04",
"El Salvador","SLV","GDP growth","GDPG","3.58","7.54","7.37","6.05","6.4","1.71","4.25","3.75","3.45","2.15","1.71","2.34","2.3","1.85","3.56","3.91","3.84","1.27","-3.13","1.37","2.22","1.93","1.6","1.6","1.7","1.8","2","2","2",
"Estonia","EST","GDP growth","GDPG","-0.98","-1.45","-0.75","-1.64","2.15","5.69","11.74","6.72","-0.3","9.97","6.28","6.56","7.76","6.34","8.85","10.1","7.49","-4.15","-14.1","2.56","9.56","3.94","0.83","2.36","3.21","3.49","3.59","3.67","3.71",
"Ethiopia","ETH","GDP growth","GDPG","-7.22","-8.91","13.36","3.49","6.12","13.16","3.54","-4.04","6.04","5.93","7.42","1.63","-2.1","11.73","12.64","11.54","11.8","11.19","10.04","10.57","11.39","8.55","9.73","7.46","7.48","7.01","7.02","7.02","6.49",
"Fiji","FJI","GDP growth","GDPG","-2.71","6.11","2.61","5.09","4.92","4.74","-2.26","1.23","9.21","-1.78","1.97","3.15","1","5.46","2.5","1.86","-0.86","1.03","-1.39","2.95","2.7","1.7","3.04","2.28","2.31","2.29","2.33","2.36","2.39",
"Finland","FIN","GDP growth","GDPG","-6.01","-3.49","-0.8","3.62","3.96","3.59","6.2","5.02","3.9","5.32","2.28","1.83","2.01","4.13","2.92","4.41","5.34","0.29","-8.54","3.36","2.83","-1.01","-1.38","0.35","1.11","1.5","1.64","1.76","1.77",
"France","FRA","GDP growth","GDPG","1.04","1.48","-0.67","2.25","2.05","1.07","2.18","3.38","3.29","3.68","1.84","0.93","0.9","2.54","1.83","2.47","2.29","-0.08","-3.15","1.73","2.03","0.01","0.27","1.03","1.53","1.71","1.82","1.92","1.93",
"Georgia","GEO","GDP growth","GDPG","-21.1","-44.9","-29.3","-10.4","2.6","10.5","10.57","2.88","2.96","1.94","4.7","5.5","11.1","5.85","9.59","9.38","12.34","2.31","-3.78","6.25","7.17","6.18","3.23","4.99","5","5.01","4.98","5.01","5.01",
"Germany","DEU","GDP growth","GDPG","5.01","1.5","-1.01","2.53","1.78","0.82","1.79","1.66","1.74","3.3","1.64","0.03","-0.39","0.69","0.85","3.89","3.39","0.81","-5.09","3.86","3.4","0.9","0.54","1.71","1.56","1.4","1.36","1.3","1.29",
"Greece","GRC","GDP growth","GDPG","3.1","0.7","-1.6","2","2.1","2.36","3.64","3.36","3.42","4.48","4.2","3.44","5.94","4.37","2.28","5.51","3.54","-0.21","-3.14","-4.94","-7.11","-6.98","-3.86","0.6","2.92","3.71","3.48","3.35","2.77",
"Guatemala","GTM","GDP growth","GDPG","3.07","4.64","3.46","3.52","4.42","2.8","4.15","4.59","3.69","2.53","2.4","3.87","2.53","3.15","3.26","5.38","6.3","3.28","0.53","2.87","4.24","2.96","3.5","3.5","3.5","3.5","3.5","3.5","3.5",
"Guyana","GUY","GDP growth","GDPG","6.03","7.76","8.2","8.48","5.05","7.96","6.18","-1.71","2.99","-1.35","2.26","1.15","-0.65","1.57","-1.94","5.13","7.02","1.98","3.32","4.37","5.44","4.82","4.8","4.28","3.99","4.87","4.34","4.25","3.25",
"Honduras","HND","GDP growth","GDPG","3.25","5.62","6.23","-1.3","4.08","3.58","4.99","2.9","-1.89","5.75","2.72","3.75","4.55","6.23","6.05","6.57","6.19","4.23","-2.43","3.73","3.84","3.86","2.56","3","3.1","3.2","3","3","3",
"Hong Kong, China","HKG","GDP growth","GDPG","5.69","6.09","6.04","6.01","2.29","4.19","5.06","-6.03","2.56","7.95","0.56","1.66","3.06","8.7","7.39","7.03","6.46","2.13","-2.46","6.77","4.79","1.55","2.94","3.75","3.84","3.94","3.92","3.98","4.01",
"Hungary","HUN","GDP growth","GDPG","-11.89","-3.06","-0.58","2.95","2.54","0.16","3.13","4.07","3.2","4.22","3.71","4.51","3.85","4.8","3.96","3.89","0.11","0.89","-6.77","1.05","1.57","-1.67","1.11","1.98","1.74","1.68","1.71","1.74","1.74",
"Iceland","ISL","GDP growth","GDPG","-0.22","-3.37","1.31","3.61","0.12","4.79","4.91","6.32","4.09","4.32","3.92","0.14","2.43","7.84","7.23","4.71","5.99","1.19","-6.56","-4.1","2.68","1.4","2.87","2.68","3.06","3.04","2.97","2.28","2.26",
"India","IND","GDP growth","GDPG","1.06","5.48","4.75","6.66","7.57","7.55","4.05","6.18","8.85","3.84","4.82","3.8","7.86","7.92","9.29","9.26","9.8","3.89","8.48","10.26","6.64","4.74","4.35","5.42","6.35","6.48","6.65","6.73","6.76",
"Indonesia","IDN","GDP growth","GDPG","6.95","6.46","8","7.54","8.22","7.82","4.7","-13.13","0.79","4.2","3.64","4.5","4.78","5.03","5.69","5.5","6.34","6.01","4.63","6.22","6.49","6.26","5.78","5.36","5.8","6","6","6","6",
